Year,Unit Code,Exchange Rate
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,MXN,10.370021
2002,MXN,10.370021
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,USD,1.018155
2002,ISK,84.782734
2002,ISK,84.782734
2002,USD,1.018155
2002,NZD,2.000914
2002,NZD,2.000914
2002,USD,1.018155
2002,CLP,709.304668
2002,CLP,709.304668
2002,USD,1.018155
2002,EUR,1.0
2002,EUR,1.0
2002,USD,1.018155
2002,EUR,1.0
2002,EUR,1.0
2002,USD,1.018155
2003,AUD,1.653553
2003,EUR,1.0
2003,EUR,1.0
2003,CAD,1.613962
2003,CZK,32.222045
2003,DKK,7.451894
2003,EUR,1.0
2003,EUR,1.0
2003,EUR,1.0
2003,EUR,1.0
2003,HUF,263.232535
2003,EUR,1.0
2003,EUR,1.0
2003,JPY,132.358717
2003,KRW,1456.687567
2003,EUR,1.0
2003,EUR,1.0
2003,NOK,8.202516
2003,PLN,4.6714
2003,EUR,1.0
2003,EUR,1.0
2003,EUR,1.0
2003,SEK,8.977073
2003,CHF,1.551268
2003,GBP,0.703072
2003,USD,1.228266
2003,ILS,5.395106
2003,EUR,1.0
2003,EUR,1.0
2003,AUD,1.653553
2003,EUR,1.0
2003,EUR,1.0
2003,CAD,1.613962
2003,CZK,32.222045
2003,DKK,7.451894
2003,EUR,1.0
2003,EUR,1.0
2003,EUR,1.0
2003,EUR,1.0
2003,HUF,263.232535
2003,EUR,1.0
2003,EUR,1.0
2003,JPY,132.358717
2003,KRW,1456.687567
2003,EUR,1.0
2003,EUR,1.0
2003,NOK,8.202516
2003,PLN,4.6714
2003,EUR,1.0
2003,EUR,1.0
2003,EUR,1.0
2003,SEK,8.977073
2003,CHF,1.551268
2003,GBP,0.703072
2003,USD,1.228266
2003,ILS,5.395106
2003,EUR,1.0
2003,EUR,1.0
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,MXN,13.792588
2003,MXN,13.792588
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,USD,1.228266
2003,ISK,89.939851
2003,ISK,89.939851
2003,USD,1.228266
2003,NZD,1.894266
2003,NZD,1.894266
2003,USD,1.228266
2003,CLP,738.756044
2003,CLP,738.756044
2003,USD,1.228266
2003,EUR,1.0
2003,EUR,1.0
2003,USD,1.228266
2003,EUR,1.0
2003,EUR,1.0
2003,USD,1.228266
2004,AUD,1.761362
2004,EUR,1.0
2004,EUR,1.0
2004,CAD,1.622112
2004,CZK,30.730153
2004,DKK,7.431238
2004,EUR,1.0
2004,EUR,1.0
2004,EUR,1.0
2004,EUR,1.0
2004,HUF,248.007756
2004,EUR,1.0
2004,EUR,1.0
2004,JPY,139.358913
2004,KRW,1400.384444
2004,EUR,1.0
2004,EUR,1.0
2004,NOK,8.218003
2004,PLN,4.214068
2004,EUR,1.0
2004,EUR,1.0
2004,EUR,1.0
2004,SEK,9.000635
2004,CHF,1.535111
2004,GBP,0.691128
2004,USD,1.321096
2004,ILS,5.756532
2004,EUR,1.0
2004,EUR,1.0
2004,AUD,1.761362
2004,EUR,1.0
2004,EUR,1.0
2004,CAD,1.622112
2004,CZK,30.730153
2004,DKK,7.431238
2004,EUR,1.0
2004,EUR,1.0
2004,EUR,1.0
2004,EUR,1.0
2004,HUF,248.007756
2004,EUR,1.0
2004,EUR,1.0
2004,JPY,139.358913
2004,KRW,1400.384444
2004,EUR,1.0
2004,EUR,1.0
2004,NOK,8.218003
2004,PLN,4.214068
2004,EUR,1.0
2004,EUR,1.0
2004,EUR,1.0
2004,SEK,9.000635
2004,CHF,1.535111
2004,GBP,0.691128
2004,USD,1.321096
2004,ILS,5.756532
2004,EUR,1.0
2004,EUR,1.0
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,MXN,14.991907
2004,MXN,14.991907
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,USD,1.321096
2004,ISK,83.746558
2004,ISK,83.746558
2004,USD,1.321096
2004,NZD,1.875763
2004,NZD,1.875763
2004,USD,1.321096
2004,CLP,784.657687
2004,CLP,784.657687
2004,USD,1.321096
2004,EUR,1.0
2004,EUR,1.0
2004,USD,1.321096
2004,EUR,1.0
2004,EUR,1.0
2004,USD,1.321096
2005,AUD,1.584102
2005,EUR,1.0
2005,EUR,1.0
2005,CAD,1.376549
2005,CZK,29.104903
2005,DKK,7.451966
2005,EUR,1.0
2005,EUR,1.0
2005,EUR,1.0
2005,EUR,1.0
2005,HUF,254.46391
2005,EUR,1.0
2005,EUR,1.0
2005,JPY,143.419161
2005,KRW,1234.818868
2005,EUR,1.0
2005,EUR,1.0
2005,NOK,7.96627
2005,PLN,3.847135
2005,EUR,1.0
2005,EUR,1.0
2005,EUR,1.0
2005,SEK,9.437342
2005,CHF,1.542539
2005,GBP,0.674295
2005,USD,1.19512
2005,ILS,5.500253
2005,EUR,1.0
2005,EUR,1.0
2005,AUD,1.584102
2005,EUR,1.0
2005,EUR,1.0
2005,CAD,1.376549
2005,CZK,29.104903
2005,DKK,7.451966
2005,EUR,1.0
2005,EUR,1.0
2005,EUR,1.0
2005,EUR,1.0
2005,HUF,254.46391
2005,EUR,1.0
2005,EUR,1.0
2005,JPY,143.419161
2005,KRW,1234.818868
2005,EUR,1.0
2005,EUR,1.0
2005,NOK,7.96627
2005,PLN,3.847135
2005,EUR,1.0
2005,EUR,1.0
2005,EUR,1.0
2005,SEK,9.437342
2005,CHF,1.542539
2005,GBP,0.674295
2005,USD,1.19512
2005,ILS,5.500253
2005,EUR,1.0
2005,EUR,1.0
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,MXN,12.694715
2005,MXN,12.694715
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,USD,1.19512
2005,ISK,75.485489
2005,ISK,75.485489
2005,USD,1.19512
2005,NZD,1.683753
2005,NZD,1.683753
2005,USD,1.19512
2005,CLP,611.791463
2005,CLP,611.791463
2005,USD,1.19512
2005,EUR,1.0
2005,EUR,1.0
2005,USD,1.19512
2005,EUR,1.0
2005,EUR,1.0
2005,USD,1.19512
2006,AUD,1.687058
2006,EUR,1.0
2006,EUR,1.0
2006,CAD,1.527657
2006,CZK,27.923131
2006,DKK,7.4603
2006,EUR,1.0
2006,EUR,1.0
2006,EUR,1.0
2006,EUR,1.0
2006,HUF,253.969444
2006,EUR,1.0
2006,EUR,1.0
2006,JPY,155.093991
2006,KRW,1222.821521
2006,EUR,1.0
2006,EUR,1.0
2006,NOK,8.142587
2006,PLN,3.817482
2006,EUR,1.0
2006,EUR,1.0
2006,EUR,1.0
2006,SEK,9.048736
2006,CHF,1.593153
2006,GBP,0.67415
2006,USD,1.325574
2006,ILS,5.551188
2006,EUR,1.0
2006,EUR,1.0
2006,AUD,1.687058
2006,EUR,1.0
2006,EUR,1.0
2006,CAD,1.527657
2006,CZK,27.923131
2006,DKK,7.4603
2006,EUR,1.0
2006,EUR,1.0
2006,EUR,1.0
2006,EUR,1.0
2006,HUF,253.969444
2006,EUR,1.0
2006,EUR,1.0
2006,JPY,155.093991
2006,KRW,1222.821521
2006,EUR,1.0
2006,EUR,1.0
2006,NOK,8.142587
2006,PLN,3.817482
2006,EUR,1.0
2006,EUR,1.0
2006,EUR,1.0
2006,SEK,9.048736
2006,CHF,1.593153
2006,GBP,0.67415
2006,USD,1.325574
2006,ILS,5.551188
2006,EUR,1.0
2006,EUR,1.0
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,MXN,14.375437
2006,MXN,14.375437
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,USD,1.325574
2006,ISK,91.811334
2006,ISK,91.811334
2006,USD,1.325574
2006,NZD,1.919347
2006,NZD,1.919347
2006,USD,1.325574
2006,CLP,697.823378
